GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Project,edu.pdx.cs.joy.whitlock,Student.NegativeGpaException,0,3,0,0,0,1,0,1,0,1
Student Project,edu.pdx.cs.joy.whitlock,Student,9,65,0,4,2,26,0,8,0,6
