GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Airline Project,edu.pdx.cs.joy.whitlock,Flight,15,10,0,0,3,3,3,3,3,3
Airline Project,edu.pdx.cs.joy.whitlock,TextParser,7,29,0,2,2,8,0,3,0,2
Airline Project,edu.pdx.cs.joy.whitlock,AirlineXmlHelper,0,5,0,0,0,2,0,1,0,1
Airline Project,edu.pdx.cs.joy.whitlock,Airline,10,9,0,0,2,4,2,2,2,2
Airline Project,edu.pdx.cs.joy.whitlock,TextDumper,0,19,0,0,0,7,0,2,0,2
Airline Project,edu.pdx.cs.joy.whitlock,Project1,14,18,1,1,3,4,3,1,2,1
